"Registered" "Date" "Year" "Month" "Day" "Hour" "Holiday" "WorkDay" "Weather" "Temp" "TempFeel" "Humidity" "Windspeed" "Casual"
"15555" 461 "2012-10-15" "2012" 10 1 7 0 1 2 0.58 0.5455 0.68 0.3284 15
"9639" 217 "2012-02-11" "2012" 2 6 13 0 0 2 0.26 0.2424 0.81 0.2836 18
"2677" 98 "2011-04-26" "2011" 4 2 10 0 1 1 0.66 0.6212 0.69 0.3582 22
"11512" 198 "2012-04-29" "2012" 4 0 20 0 0 1 0.56 0.5303 0.32 0.0896 45
"11712" 5 "2012-05-08" "2012" 5 2 4 0 1 2 0.52 0.5 0.68 0.3284 0
"12362" 135 "2012-06-04" "2012" 6 1 6 0 1 1 0.52 0.5 0.68 0 4
"8685" 144 "2012-01-02" "2012" 1 1 16 1 0 1 0.26 0.2273 0.35 0.4179 10
"7881" 23 "2011-11-30" "2011" 11 3 0 0 1 1 0.36 0.3333 0.62 0.4179 1
"10036" 2 "2012-02-28" "2012" 2 2 4 0 1 1 0.32 0.2879 0.42 0.3582 0
"3455" 128 "2011-05-28" "2011" 5 6 20 0 0 1 0.7 0.6515 0.65 0.2239 68
"13513" 6 "2012-07-22" "2012" 7 0 5 0 0 1 0.6 0.5455 0.88 0 0
"198" 79 "2011-01-09" "2011" 1 0 12 0 0 1 0.18 0.1364 0.37 0.4478 4
"16351" 22 "2012-11-19" "2012" 11 1 0 0 1 1 0.36 0.3485 0.66 0.2239 5
"5391" 163 "2011-08-17" "2011" 8 3 12 0 1 1 0.8 0.7273 0.43 0.2836 26
"9410" 75 "2012-02-01" "2012" 2 3 23 0 1 1 0.46 0.4545 0.63 0.0896 22
"10067" 69 "2012-02-29" "2012" 2 3 12 0 1 3 0.32 0.303 0.93 0.3284 1
"10967" 25 "2012-04-07" "2012" 4 6 2 0 0 1 0.36 0.3333 0.29 0.3582 11
"14775" 557 "2012-09-12" "2012" 9 3 19 0 1 1 0.64 0.6212 0.5 0.194 78
"8095" 84 "2011-12-08" "2011" 12 4 22 0 1 1 0.26 0.2727 0.65 0.1343 8
"14367" 212 "2012-08-26" "2012" 8 0 19 0 0 2 0.64 0.5758 0.89 0.1642 80
"8625" 17 "2011-12-31" "2011" 12 6 3 0 0 2 0.4 0.4091 0.62 0.2836 1
"663" 19 "2011-01-30" "2011" 1 0 22 0 0 2 0.24 0.2273 0.7 0.194 2
"11279" 9 "2012-04-20" "2012" 4 5 3 0 1 1 0.44 0.4394 0.88 0.1045 1
"12483" 61 "2012-06-09" "2012" 6 6 7 0 0 1 0.58 0.5455 0.64 0.1045 26
"630" 66 "2011-01-29" "2011" 1 6 12 0 0 2 0.2 0.197 0.59 0.194 12
"16438" 96 "2012-11-22" "2012" 11 4 15 1 0 1 0.48 0.4697 0.29 0 132
"9190" 211 "2012-01-23" "2012" 1 1 19 0 1 2 0.26 0.2576 0.93 0.1642 9
"1546" 176 "2011-03-09" "2011" 3 3 18 0 1 2 0.34 0.3182 0.76 0.2537 12
"7662" 90 "2011-11-20" "2011" 11 0 20 0 0 2 0.52 0.5 0.68 0.1045 23
"7105" 171 "2011-10-28" "2011" 10 5 15 0 1 2 0.36 0.3333 0.43 0.2537 44
"10283" 174 "2012-03-09" "2012" 3 5 12 0 1 1 0.36 0.3333 0.34 0.4179 27
"2812" 73 "2011-05-02" "2011" 5 1 1 0 1 1 0.46 0.4545 0.72 0.1343 41
"11499" 20 "2012-04-29" "2012" 4 0 7 0 0 2 0.34 0.3333 0.87 0.1343 7
"3646" 249 "2011-06-05" "2011" 6 0 19 0 0 1 0.68 0.6364 0.65 0.1642 108
"15518" 299 "2012-10-13" "2012" 10 6 18 0 0 1 0.46 0.4545 0.44 0.1343 174
"15423" 483 "2012-10-09" "2012" 10 2 19 0 1 2 0.5 0.4848 0.72 0.1642 31
"3043" 240 "2011-05-11" "2011" 5 3 16 0 1 1 0.66 0.6212 0.39 0 49
"10144" 279 "2012-03-03" "2012" 3 6 17 0 0 1 0.5 0.4848 0.23 0.3284 106
"1565" 11 "2011-03-10" "2011" 3 4 15 0 1 3 0.44 0.4394 0 0.2239 3
"8147" 47 "2011-12-11" "2011" 12 0 2 0 0 1 0.18 0.1667 0.55 0.2537 5
"12526" 12 "2012-06-11" "2012" 6 1 2 0 1 1 0.66 0.6212 0.74 0.1045 5
"11089" 21 "2012-04-12" "2012" 4 4 5 0 1 1 0.3 0.2879 0.61 0.2239 0
"12176" 269 "2012-05-27" "2012" 5 0 12 0 0 1 0.74 0.697 0.66 0.2537 301
"8003" 8 "2011-12-05" "2011" 12 1 2 0 1 1 0.32 0.3485 0.87 0 0
"10764" 175 "2012-03-29" "2012" 3 4 14 0 1 1 0.5 0.4848 0.42 0.3582 63
"5397" 470 "2011-08-17" "2011" 8 3 18 0 1 1 0.76 0.697 0.55 0.2537 86
"5539" 311 "2011-08-23" "2011" 8 2 16 0 1 1 0.72 0.6515 0.32 0.1343 133
"10350" 547 "2012-03-12" "2012" 3 1 8 0 1 1 0.34 0.3333 0.61 0.1343 17
"10059" 2 "2012-02-29" "2012" 2 3 3 0 1 1 0.28 0.303 0.7 0.0896 0
"4936" 114 "2011-07-29" "2011" 7 5 13 0 1 1 0.94 0.8333 0.31 0 42
"3200" 9 "2011-05-18" "2011" 5 3 5 0 1 1 0.52 0.5 1 0.2239 0
"17258" 11 "2012-12-26" "2012" 12 3 22 0 1 3 0.24 0.197 0.93 0.4478 0
"3450" 187 "2011-05-28" "2011" 5 6 15 0 0 1 0.74 0.6818 0.55 0.2239 187
"14197" 267 "2012-08-19" "2012" 8 0 17 0 0 2 0.64 0.5909 0.78 0.1045 76
"325" 25 "2011-01-15" "2011" 1 6 0 0 0 1 0.18 0.2424 0.55 0 3
"12292" 675 "2012-06-01" "2012" 6 5 8 0 1 2 0.64 0.5758 0.89 0.194 19
"5740" 144 "2011-09-01" "2011" 9 4 14 0 1 3 0.72 0.6667 0.54 0.2537 54
"12443" 234 "2012-06-07" "2012" 6 4 15 0 1 1 0.74 0.6515 0.3 0 99
"1047" 224 "2011-02-16" "2011" 2 3 8 0 1 2 0.22 0.2273 0.55 0.1642 6
"2095" 8 "2011-04-02" "2011" 4 6 3 0 0 1 0.24 0.2424 0.7 0.1642 1
"5393" 138 "2011-08-17" "2011" 8 3 14 0 1 1 0.82 0.7273 0.36 0.1642 54
"15170" 33 "2012-09-29" "2012" 9 6 6 0 0 1 0.5 0.4848 0.63 0.2537 4
"10155" 11 "2012-03-04" "2012" 3 0 4 0 0 2 0.34 0.3333 0.46 0.194 3
"16277" 143 "2012-11-15" "2012" 11 4 22 0 1 2 0.32 0.3182 0.66 0.1642 10
"15394" 299 "2012-10-08" "2012" 10 1 14 1 0 2 0.42 0.4242 0.58 0.1045 121
"10401" 155 "2012-03-14" "2012" 3 3 11 0 1 2 0.62 0.6212 0.41 0.1642 65
"1869" 74 "2011-03-23" "2011" 3 3 15 0 1 2 0.38 0.3939 0.82 0.2239 11
"8259" 363 "2011-12-15" "2011" 12 4 18 0 1 2 0.52 0.5 0.59 0.2985 14
"15746" 152 "2012-10-23" "2012" 10 2 6 0 1 1 0.4 0.4091 0.82 0.0896 6
"14218" 188 "2012-08-20" "2012" 8 1 14 0 1 1 0.72 0.6667 0.54 0.1642 87
"6104" 124 "2011-09-16" "2011" 9 5 21 0 1 2 0.5 0.4848 0.63 0 39
"1879" 3 "2011-03-24" "2011" 3 4 1 0 1 2 0.3 0.2879 1 0.2239 0
"10336" 256 "2012-03-11" "2012" 3 0 18 0 0 1 0.52 0.5 0.29 0.2836 133
"13668" 279 "2012-07-28" "2012" 7 6 16 0 0 1 0.86 0.7727 0.39 0.2239 208
"4982" 163 "2011-07-31" "2011" 7 0 11 0 0 1 0.86 0.7424 0.28 0.1642 112
"16345" 240 "2012-11-18" "2012" 11 0 18 0 0 1 0.36 0.3485 0.66 0.2239 36
"11420" 42 "2012-04-26" "2012" 4 4 0 0 1 2 0.48 0.4697 0.63 0 1
"17103" 303 "2012-12-20" "2012" 12 4 9 0 1 2 0.3 0.3333 0.7 0 14
"8480" 16 "2011-12-24" "2011" 12 6 23 0 0 1 0.24 0.2576 0.56 0 1
"6277" 54 "2011-09-24" "2011" 9 6 2 0 0 2 0.58 0.5455 0.94 0.0896 14
"10718" 267 "2012-03-27" "2012" 3 2 16 0 1 1 0.42 0.4242 0.2 0 38
"15995" 10 "2012-11-04" "2012" 11 0 3 0 0 1 0.28 0.2879 0.61 0.1045 1
"10541" 167 "2012-03-20" "2012" 3 2 7 0 1 3 0.52 0.5 0.94 0.2239 3
"15368" 292 "2012-10-07" "2012" 10 0 12 0 0 2 0.42 0.4242 0.71 0 100
"16131" 235 "2012-11-09" "2012" 11 5 20 0 1 1 0.36 0.3485 0.66 0.1343 20
"16430" 49 "2012-11-22" "2012" 11 4 7 1 0 1 0.22 0.2273 0.75 0.1343 7
"6752" 115 "2011-10-13" "2011" 10 4 21 0 1 1 0.62 0.5758 0.83 0.194 8
"7143" 4 "2011-10-30" "2011" 10 0 5 0 0 1 0.24 0.2121 0.75 0.2985 0
"10324" 8 "2012-03-11" "2012" 3 0 6 0 0 1 0.24 0.2424 0.7 0.1642 2
"10518" 563 "2012-03-19" "2012" 3 1 8 0 1 1 0.46 0.4545 0.88 0.1045 16
"5642" 218 "2011-08-28" "2011" 8 0 12 0 0 1 0.74 0.6667 0.51 0.3881 88
"16204" 145 "2012-11-12" "2012" 11 1 21 1 0 3 0.54 0.5152 0.73 0.2239 10
"5864" 269 "2011-09-06" "2011" 9 2 19 0 1 2 0.54 0.5152 0.88 0.4179 12
"5832" 137 "2011-09-05" "2011" 9 1 10 1 0 2 0.7 0.6515 0.7 0.1642 107
"11919" 499 "2012-05-16" "2012" 5 3 19 0 1 1 0.7 0.6515 0.54 0.2836 91
"10159" 54 "2012-03-04" "2012" 3 0 8 0 0 1 0.3 0.2727 0.52 0.3284 12
"14882" 157 "2012-09-17" "2012" 9 1 6 0 1 1 0.48 0.4697 0.82 0 7
"15009" 434 "2012-09-22" "2012" 9 6 13 0 0 1 0.74 0.6667 0.51 0.3582 273
"9169" 58 "2012-01-22" "2012" 1 0 22 0 0 2 0.16 0.197 0.93 0.0896 0
"14722" 233 "2012-09-10" "2012" 9 1 14 0 1 1 0.66 0.6212 0.36 0.2836 107
"3162" 110 "2011-05-16" "2011" 5 1 15 0 1 1 0.72 0.6667 0.51 0 55
"11129" 153 "2012-04-13" "2012" 4 5 21 0 1 1 0.5 0.4848 0.36 0 36
"12717" 13 "2012-06-19" "2012" 6 2 1 0 1 2 0.6 0.5758 0.78 0.1642 1
"8563" 135 "2011-12-28" "2011" 12 3 13 0 1 1 0.34 0.2879 0.39 0.4627 24
"1230" 244 "2011-02-24" "2011" 2 4 8 0 1 1 0.24 0.2273 0.7 0.2239 8
"7587" 379 "2011-11-17" "2011" 11 4 17 0 1 1 0.32 0.2879 0.42 0.3881 20
"9679" 17 "2012-02-13" "2012" 2 1 5 0 1 1 0.1 0.1212 0.58 0.1343 0
"16225" 514 "2012-11-13" "2012" 11 2 18 0 1 1 0.34 0.3182 0.49 0.2836 45
"11165" 154 "2012-04-15" "2012" 4 0 9 0 0 1 0.54 0.5152 0.56 0.2239 97
"11155" 151 "2012-04-14" "2012" 4 6 23 0 0 2 0.54 0.5152 0.56 0.194 45
"14411" 258 "2012-08-28" "2012" 8 2 15 0 1 1 0.82 0.7273 0.34 0.2985 59
"4492" 5 "2011-07-11" "2011" 7 1 1 0 1 1 0.7 0.6515 0.61 0.2836 5
"11164" 64 "2012-04-15" "2012" 4 0 8 0 0 1 0.52 0.5 0.59 0 33
"6773" 361 "2011-10-14" "2011" 10 5 18 0 1 1 0.54 0.5152 0.39 0.2836 62
"15961" 581 "2012-11-02" "2012" 11 5 17 0 1 1 0.38 0.3939 0.4 0.3284 57
"8746" 26 "2012-01-05" "2012" 1 4 5 0 1 2 0.2 0.2273 0.59 0.0896 0
"11440" 314 "2012-04-26" "2012" 4 4 20 0 1 1 0.54 0.5152 0.77 0.194 23
"15250" 147 "2012-10-02" "2012" 10 2 14 0 1 3 0.6 0.5455 0.88 0.1343 16
"14322" 209 "2012-08-24" "2012" 8 5 22 0 1 2 0.7 0.6515 0.61 0 42
"14595" 489 "2012-09-05" "2012" 9 3 7 0 1 2 0.7 0.6667 0.79 0.2537 11
"440" 247 "2011-01-20" "2011" 1 4 8 0 1 1 0.22 0.2121 0.55 0.2836 2
"3311" 174 "2011-05-22" "2011" 5 0 20 0 0 1 0.64 0.6061 0.65 0.1642 57
"10666" 238 "2012-03-25" "2012" 3 0 12 0 0 2 0.4 0.4091 0.94 0.2239 122
"17281" 51 "2012-12-27" "2012" 12 4 21 0 1 2 0.24 0.2273 0.6 0.2537 12
"456" 20 "2011-01-21" "2011" 1 5 0 0 1 2 0.24 0.2273 0.7 0.2537 1
"4107" 97 "2011-06-25" "2011" 6 6 0 0 0 1 0.68 0.6364 0.47 0.1642 19
"841" 36 "2011-02-07" "2011" 2 1 11 0 1 1 0.3 0.3182 0.65 0.0896 11
"10504" 294 "2012-03-18" "2012" 3 0 18 0 0 1 0.56 0.5303 0.64 0.1642 165
"6626" 234 "2011-10-08" "2011" 10 6 15 0 0 1 0.66 0.6212 0.39 0 262
"4711" 4 "2011-07-20" "2011" 7 3 4 0 1 1 0.68 0.6364 0.83 0 0
"11144" 404 "2012-04-14" "2012" 4 6 12 0 0 1 0.58 0.5455 0.35 0.2537 274
"3639" 212 "2011-06-05" "2011" 6 0 12 0 0 2 0.64 0.6061 0.69 0.1045 123
"16731" 252 "2012-12-04" "2012" 12 2 21 0 1 2 0.5 0.4848 0.63 0.2537 28
"9807" 219 "2012-02-18" "2012" 2 6 13 0 0 1 0.4 0.4091 0.43 0.2836 165
"7741" 4 "2011-11-24" "2011" 11 4 3 1 0 1 0.28 0.2879 0.65 0.1343 1
"16234" 5 "2012-11-14" "2012" 11 3 3 0 1 1 0.24 0.2273 0.65 0.2239 0
"3342" 2 "2011-05-24" "2011" 5 2 3 0 1 2 0.58 0.5455 0.94 0.1045 0
"8835" 54 "2012-01-08" "2012" 1 0 22 0 0 1 0.26 0.2727 0.6 0.1045 4
"437" 6 "2011-01-20" "2011" 1 4 5 0 1 1 0.24 0.2273 0.6 0.2239 0
"16426" 6 "2012-11-22" "2012" 11 4 3 1 0 1 0.24 0.2576 0.75 0.1045 0
"12793" 35 "2012-06-22" "2012" 6 5 5 0 1 2 0.74 0.697 0.66 0.0896 3
"13633" 34 "2012-07-27" "2012" 7 5 5 0 1 1 0.7 0.6667 0.84 0 3
"15719" 5 "2012-10-22" "2012" 10 1 3 0 1 1 0.4 0.4091 0.62 0 1
"1753" 237 "2011-03-18" "2011" 3 5 17 0 1 1 0.7 0.6364 0.37 0.3284 95
"10596" 161 "2012-03-22" "2012" 3 4 14 0 1 1 0.6 0.5909 0.73 0.1045 96
"15485" 374 "2012-10-12" "2012" 10 5 9 0 1 1 0.5 0.4848 0.39 0.2985 26
"1696" 101 "2011-03-16" "2011" 3 3 7 0 1 2 0.3 0.2879 0.93 0.194 10
"10502" 312 "2012-03-18" "2012" 3 0 16 0 0 1 0.54 0.5152 0.73 0.0896 229
"1497" 206 "2011-03-07" "2011" 3 1 17 0 1 1 0.34 0.303 0.29 0.3582 27
"5143" 5 "2011-08-07" "2011" 8 0 4 0 0 1 0.7 0.6667 0.84 0.1343 1
"3404" 445 "2011-05-26" "2011" 5 4 17 0 1 1 0.8 0.7273 0.46 0.2836 49
"15729" 227 "2012-10-22" "2012" 10 1 13 0 1 1 0.62 0.6212 0.29 0.1642 88
"3421" 111 "2011-05-27" "2011" 5 5 10 0 1 1 0.72 0.6667 0.54 0.3881 42
"2291" 7 "2011-04-10" "2011" 4 0 7 0 0 2 0.36 0.3636 1 0.0896 3
"3101" 37 "2011-05-14" "2011" 5 6 2 0 0 2 0.5 0.4848 0.88 0.1343 15
"3027" 30 "2011-05-11" "2011" 5 3 0 0 1 2 0.52 0.5 0.55 0.1343 8
"8033" 401 "2011-12-06" "2011" 12 2 8 0 1 2 0.46 0.4545 0.94 0.194 13
"2174" 25 "2011-04-05" "2011" 4 2 10 0 1 3 0.34 0.303 0.81 0.3881 3
"4634" 107 "2011-07-16" "2011" 7 6 23 0 0 1 0.68 0.6364 0.61 0.2239 61
"7869" 17 "2011-11-29" "2011" 11 2 12 0 1 3 0.42 0.4242 0.82 0.4179 1
"13020" 228 "2012-07-01" "2012" 7 0 16 0 0 1 0.92 0.8333 0.33 0.2985 85
"5211" 18 "2011-08-10" "2011" 8 3 0 0 1 1 0.74 0.6667 0.51 0.2239 19
"4394" 78 "2011-07-06" "2011" 7 3 23 0 1 1 0.68 0.6364 0.83 0.2239 20
"7804" 118 "2011-11-26" "2011" 11 6 18 0 0 2 0.42 0.4242 0.62 0.1642 67
"9095" 184 "2012-01-19" "2012" 1 4 20 0 1 1 0.26 0.2121 0.52 0.4478 7
"9762" 110 "2012-02-16" "2012" 2 4 16 0 1 3 0.34 0.3636 0.81 0 8
"7189" 5 "2011-11-01" "2011" 11 2 3 0 1 2 0.36 0.3485 0.81 0.1343 1
"11421" 22 "2012-04-26" "2012" 4 4 1 0 1 2 0.48 0.4697 0.48 0.0896 1
"6243" 262 "2011-09-22" "2011" 9 4 16 0 1 2 0.68 0.6364 0.74 0.1343 39
"14681" 155 "2012-09-08" "2012" 9 6 21 0 0 2 0.6 0.5606 0.83 0.1642 26
"2516" 372 "2011-04-19" "2011" 4 2 17 0 1 1 0.56 0.5303 0.6 0.1045 39
"4232" 24 "2011-06-30" "2011" 6 4 5 0 1 1 0.58 0.5455 0.64 0.2537 1
"16840" 180 "2012-12-09" "2012" 12 0 10 0 0 2 0.4 0.4091 0.87 0.2836 39
"1613" 144 "2011-03-12" "2011" 3 6 16 0 0 1 0.46 0.4545 0.41 0.4478 100
"7800" 158 "2011-11-26" "2011" 11 6 14 0 0 2 0.48 0.4697 0.48 0.1343 141
"3822" 6 "2011-06-13" "2011" 6 1 3 0 1 1 0.6 0.6061 0.6 0.4925 1
"12789" 28 "2012-06-22" "2012" 6 5 1 0 1 1 0.76 0.7424 0.75 0.1642 3
"16043" 4 "2012-11-06" "2012" 11 2 3 0 1 1 0.22 0.2424 0.64 0.1045 0
"2720" 13 "2011-04-28" "2011" 4 4 5 0 1 2 0.62 0.5758 0.83 0.3881 0
"17291" 111 "2012-12-28" "2012" 12 5 7 0 1 1 0.22 0.2273 0.64 0.1642 1
"3429" 310 "2011-05-27" "2011" 5 5 18 0 1 2 0.72 0.6818 0.62 0.2985 89
"16484" 161 "2012-11-24" "2012" 11 6 13 0 0 1 0.32 0.303 0.36 0.3284 64
"12768" 11 "2012-06-21" "2012" 6 4 4 0 1 1 0.7 0.6667 0.84 0.0896 1
"2901" 456 "2011-05-05" "2011" 5 4 18 0 1 1 0.56 0.5303 0.26 0.2836 64
"12893" 298 "2012-06-26" "2012" 6 2 9 0 1 1 0.58 0.5455 0.46 0.4179 30
"9589" 95 "2012-02-09" "2012" 2 4 11 0 1 1 0.24 0.2273 0.52 0.2239 4
"13329" 372 "2012-07-14" "2012" 7 6 13 0 0 2 0.76 0.7121 0.62 0.0896 219
"11492" 36 "2012-04-29" "2012" 4 0 0 0 0 3 0.36 0.3485 0.81 0.1343 0
"10070" 87 "2012-02-29" "2012" 2 3 15 0 1 2 0.4 0.4091 0.82 0.2836 3
"5282" 100 "2011-08-12" "2011" 8 5 23 0 1 1 0.68 0.6364 0.51 0 51
"13190" 199 "2012-07-08" "2012" 7 0 18 0 0 1 0.78 0.7424 0.62 0.1045 54
"9905" 486 "2012-02-22" "2012" 2 3 17 0 1 1 0.52 0.5 0.32 0.3881 43
"696" 132 "2011-02-01" "2011" 2 2 8 0 1 3 0.16 0.2273 0.93 0 3
"4876" 9 "2011-07-27" "2011" 7 3 1 0 1 1 0.78 0.7121 0.49 0.194 1
"5317" 116 "2011-08-14" "2011" 8 0 10 0 0 1 0.7 0.6667 0.79 0.2239 67
"15069" 11 "2012-09-25" "2012" 9 2 1 0 1 1 0.44 0.4394 0.72 0.1343 2
"13661" 227 "2012-07-28" "2012" 7 6 9 0 0 1 0.78 0.7424 0.59 0.1045 110
"10859" 141 "2012-04-02" "2012" 4 1 14 0 1 1 0.46 0.4545 0.31 0.4179 127
"8608" 108 "2011-12-30" "2011" 12 5 10 0 1 1 0.3 0.2879 0.65 0.2537 10
"15000" 10 "2012-09-22" "2012" 9 6 4 0 0 1 0.56 0.5303 0.83 0.2836 5
"7292" 171 "2011-11-05" "2011" 11 6 10 0 0 1 0.32 0.303 0.53 0.2537 56
"14738" 200 "2012-09-11" "2012" 9 2 6 0 1 1 0.46 0.4545 0.77 0.1045 11
"11667" 31 "2012-05-06" "2012" 5 0 7 0 0 3 0.52 0.5 0.83 0.1642 5
"13973" 199 "2012-08-10" "2012" 8 5 9 0 1 2 0.64 0.5758 0.89 0 21
"4597" 107 "2011-07-15" "2011" 7 5 10 0 1 2 0.66 0.6212 0.61 0.1642 59
"6285" 203 "2011-09-24" "2011" 9 6 10 0 0 2 0.6 0.5455 0.88 0.0896 90
"934" 64 "2011-02-11" "2011" 2 5 12 0 1 1 0.22 0.2273 0.47 0.1343 7
"8442" 152 "2011-12-23" "2011" 12 5 9 0 1 1 0.4 0.4091 0.66 0.2985 4
"8408" 54 "2011-12-21" "2011" 12 3 23 0 1 1 0.5 0.4848 0.88 0.194 0
"4923" 45 "2011-07-29" "2011" 7 5 0 0 1 1 0.74 0.7121 0.79 0.1642 12
"11075" 152 "2012-04-11" "2012" 4 3 15 0 1 3 0.38 0.3939 0.46 0.2239 50
"6367" 221 "2011-09-27" "2011" 9 2 20 0 1 1 0.62 0.5909 0.78 0 17
"2922" 171 "2011-05-06" "2011" 5 5 15 0 1 1 0.6 0.6212 0.38 0.3881 89
"116" 11 "2011-01-06" "2011" 1 4 0 0 1 1 0.18 0.2424 0.55 0 0
"9990" 2 "2012-02-26" "2012" 2 0 6 0 0 1 0.22 0.197 0.44 0.3284 0
"3369" 113 "2011-05-25" "2011" 5 3 6 0 1 1 0.56 0.5303 0.94 0.0896 4
"13838" 321 "2012-08-04" "2012" 8 6 18 0 0 1 0.86 0.7879 0.41 0.3284 169
"8500" 18 "2011-12-25" "2011" 12 0 20 0 0 1 0.32 0.3333 0.49 0.0896 8
"11772" 334 "2012-05-10" "2012" 5 4 16 0 1 1 0.58 0.5455 0.3 0.4627 87
"17034" 211 "2012-12-17" "2012" 12 1 12 0 1 2 0.4 0.4091 0.87 0 21
"4656" 148 "2011-07-17" "2011" 7 0 21 0 0 1 0.74 0.6818 0.62 0.2239 59
"6788" 157 "2011-10-15" "2011" 10 6 9 0 0 1 0.52 0.5 0.48 0.2985 50
"1838" 132 "2011-03-22" "2011" 3 2 7 0 1 2 0.4 0.4091 0.76 0.1045 4
"17332" 41 "2012-12-30" "2012" 12 0 0 0 0 2 0.26 0.2576 0.6 0.1642 0
"5465" 228 "2011-08-20" "2011" 8 6 14 0 0 1 0.8 0.7424 0.49 0.194 147
"7251" 465 "2011-11-03" "2011" 11 4 17 0 1 1 0.48 0.4697 0.55 0.0896 33
"9550" 206 "2012-02-07" "2012" 2 2 20 0 1 1 0.36 0.3485 0.5 0.1343 6
"14396" 29 "2012-08-28" "2012" 8 2 0 0 1 1 0.7 0.6667 0.84 0.2537 9
"5766" 299 "2011-09-02" "2011" 9 5 16 0 1 2 0.7 0.6515 0.61 0.1343 82
"10824" 61 "2012-04-01" "2012" 4 0 2 0 0 2 0.36 0.3485 0.76 0.1642 20
"7172" 87 "2011-10-31" "2011" 10 1 10 0 1 2 0.36 0.3485 0.57 0.1642 18
"16486" 139 "2012-11-24" "2012" 11 6 15 0 0 1 0.3 0.2727 0.36 0.4627 59
"16730" 272 "2012-12-04" "2012" 12 2 20 0 1 2 0.5 0.4848 0.63 0.2239 34
"13719" 584 "2012-07-30" "2012" 7 1 19 0 1 1 0.82 0.7727 0.52 0.1642 81
